timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11
1716816964958,39.6495,0,0.0,3.2469,3.3588,100.000,-20.000,3,,3.2469,3.2603,3.2678,3.2796,3.2890,3.2993,3.3096,3.3197,3.3296,3.3395,3.3493,3.3588,0,0,0,0,0,0,0,0,0,0,0,0
1716816965197,39.6500,0,0.0,3.2468,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2678,3.2796,3.2890,3.2993,3.3096,3.3197,3.3296,3.3395,3.3493,3.3588,0,0,0,0,0,0,0,0,0,0,0,0
1716816965437,39.6500,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2602,3.2681,3.2797,3.2892,3.2993,3.3095,3.3199,3.3296,3.3397,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816965457,39.6500,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2602,3.2681,3.2797,3.2892,3.2993,3.3095,3.3199,3.3296,3.3397,3.3492,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816965697,39.6504,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2602,3.2683,3.2799,3.2892,3.2993,3.3095,3.3199,3.3295,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816965937,39.6497,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2469,3.2602,3.2683,3.2799,3.2892,3.2993,3.3095,3.3199,3.3295,3.3395,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816965957,39.6497,0,0.0,3.2468,3.3589,100.000,-20.000,3,,3.2468,3.2603,3.2680,3.2796,3.2890,3.2993,3.3095,3.3197,3.3296,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816966198,39.6507,0,0.0,3.2469,3.3589,100.000,-20.000,3,,3.2468,3.2603,3.2680,3.2796,3.2890,3.2993,3.3095,3.3197,3.3296,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0
1716816966437,39.6501,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2680,3.2794,3.2890,3.2993,3.3095,3.3197,3.3298,3.3398,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
1716816966457,39.6501,0,0.0,3.2469,3.3591,100.000,-20.000,3,,3.2469,3.2603,3.2680,3.2794,3.2890,3.2993,3.3095,3.3197,3.3298,3.3398,3.3493,3.3591,0,0,0,0,0,0,0,0,0,0,0,0
