timestamp,pack_voltage,pack_current,soc,min_cell_volt,max_cell_volt,min_temp,max_temp,state,faults,cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_0_7,cell_0_8,cell_0_9,cell_0_10,cell_0_11,bal_0_0,bal_0_1,bal_0_2,bal_0_3,bal_0_4,bal_0_5,bal_0_6,bal_0_7,bal_0_8,bal_0_9,bal_0_10,bal_0_11,temp_0_0
1716816664784,39.6471,0,0.0,3.2463,3.3588,25.078,25.078,3,,3.2463,3.2600,3.2677,3.2796,3.2892,3.2993,3.3093,3.3197,3.3289,3.3392,3.3492,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.078
1716816664804,39.6471,0,0.0,3.2463,3.3588,25.078,25.078,3,,3.2463,3.2600,3.2677,3.2796,3.2892,3.2993,3.3093,3.3197,3.3289,3.3392,3.3492,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.078
1716816665026,39.6483,0,0.0,3.2469,3.3588,25.059,25.059,3,,3.2469,3.2603,3.2678,3.2797,3.2889,3.2988,3.3095,3.3195,3.3296,3.3395,3.3488,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816665044,39.6483,0,0.0,3.2469,3.3588,25.059,25.059,3,,3.2469,3.2603,3.2678,3.2797,3.2889,3.2988,3.3095,3.3195,3.3296,3.3395,3.3488,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816665285,39.6493,0,0.0,3.2465,3.3589,25.067,25.067,3,,3.2465,3.2602,3.2680,3.2797,3.2893,3.2993,3.3093,3.3194,3.3298,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.067
1716816665304,39.6493,0,0.0,3.2465,3.3589,25.067,25.067,3,,3.2465,3.2602,3.2680,3.2797,3.2893,3.2993,3.3093,3.3194,3.3298,3.3397,3.3493,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.067
1716816665525,39.6483,0,0.0,3.2466,3.3585,25.059,25.059,3,,3.2466,3.2602,3.2681,3.2799,3.2890,3.2988,3.3099,3.3199,3.3293,3.3392,3.3488,3.3585,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816665544,39.6483,0,0.0,3.2466,3.3585,25.059,25.059,3,,3.2466,3.2602,3.2681,3.2799,3.2890,3.2988,3.3099,3.3199,3.3293,3.3392,3.3488,3.3585,0,0,0,0,0,0,0,0,0,0,0,0,25.059
1716816665784,39.6464,0,0.0,3.2465,3.3589,25.076,25.076,3,,3.2465,3.2597,3.2671,3.2793,3.2890,3.2991,3.3096,3.3195,3.3290,3.3392,3.3495,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.076
1716816665804,39.6464,0,0.0,3.2465,3.3589,25.076,25.076,3,,3.2465,3.2597,3.2671,3.2793,3.2890,3.2991,3.3096,3.3195,3.3290,3.3392,3.3495,3.3589,0,0,0,0,0,0,0,0,0,0,0,0,25.076
1716816666031,39.6465,0,0.0,3.2465,3.3588,25.050,25.050,3,,3.2465,3.2603,3.2675,3.2797,3.2886,3.2986,3.3095,3.3197,3.3293,3.3389,3.3490,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.050
1716816666045,39.6465,0,0.0,3.2465,3.3588,25.050,25.050,3,,3.2465,3.2603,3.2675,3.2797,3.2886,3.2986,3.3095,3.3197,3.3293,3.3389,3.3490,3.3588,0,0,0,0,0,0,0,0,0,0,0,0,25.050
1716816666284,39.6487,0,0.0,3.2466,3.3595,25.065,25.065,3,,3.2466,3.2602,3.2680,3.2800,3.2887,3.2985,3.3093,3.3197,3.3293,3.3392,3.3496,3.3595,0,0,0,0,0,0,0,0,0,0,0,0,25.065
1716816666304,39.6487,0,0.0,3.2466,3.3595,25.065,25.065,3,,3.2466,3.2602,3.2680,3.2800,3.2887,3.2985,3.3093,3.3197,3.3293,3.3392,3.3496,3.3595,0,0,0,0,0,0,0,0,0,0,0,0,25.065
1716816666524,39.6483,0,0.0,3.2463,3.3585,25.061,25.061,3,,3.2463,3.2603,3.2683,3.2796,3.2887,3.2990,3.3095,3.3199,3.3295,3.3395,3.3493,3.3585,0,0,0,0,0,0,0,0,0,0,0,0,25.061
1716816666544,39.6483,0,0.0,3.2463,3.3585,25.061,25.061,3,,3.2463,3.2603,3.2683,3.2796,3.2887,3.2990,3.3095,3.3199,3.3295,3.3395,3.3493,3.3585,0,0,0,0,0,0,0,0,0,0,0,0,25.061
1716816666785,39.6472,0,0.0,3.2462,3.3591,25.067,25.067,3,,3.2462,3.2603,3.2677,3.2793,3.2889,3.2990,3.3090,3.3197,3.3296,3.3395,3.3490,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.067
1716816666804,39.6472,0,0.0,3.2462,3.3591,25.067,25.067,3,,3.2462,3.2603,3.2677,3.2793,3.2889,3.2990,3.3090,3.3197,3.3296,3.3395,3.3490,3.3591,0,0,0,0,0,0,0,0,0,0,0,0,25.067
